"oldUrl","newUrl","httpStatus","reason","verification"
"/en-za/products/magnetic-separation-equipment/rcda-type-air-cooled-electromagnetic-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rcda-type-air-cooled-electromagnetic-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-separation-equipment/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-separation-equipment/rcde-type-oil-cooled-electromagnetic-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rcde-type-oil-cooled-electromagnetic-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-separation-equipment/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-separation-equipment/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-separation-equipment/rcps-self-dumping-disc-type-permanent-magnet-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rcps-self-dumping-disc-type-permanent-magnet-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-separation-equipment/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-separation-equipment/rcydii-type-permanent-magnet-self-dumping-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rcydii-type-permanent-magnet-self-dumping-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-separation-equipment/rcye-type-permanent-magnet-self-dumping-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rcye-type-permanent-magnet-self-dumping-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-separation-equipment/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-separation-equipment/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-separation-equipment/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-separation-equipment/rcyz-type-vertical-pipeline-permanent-magnet-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rcyz-type-vertical-pipeline-permanent-magnet-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-separation-equipment/suspended-electromagnetic-conveyor-belt-separator/","/en-za/products/suspended-and-self-unloading-iron-removers/suspended-electromagnetic-conveyor-belt-separator/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-separation-equipment/suspended-permanent-magnetic-separator/","/en-za/products/suspended-and-self-unloading-iron-removers/suspended-permanent-magnetic-separator/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/metal-detection-and-recycling-sorting/drum-magnet/","/en-za/products/magnetic-separation-equipment/drum-magnet/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/metal-detection-and-recycling-sorting/electromagnet-separator/","/en-za/products/suspended-and-self-unloading-iron-removers/electromagnet-separator/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/metal-detection-and-recycling-sorting/magnetic-head-pulley/","/en-za/products/magnetic-separation-equipment/magnetic-head-pulley/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/metal-detection-and-recycling-sorting/permanent-overband-magnetic-separator/","/en-za/products/suspended-and-self-unloading-iron-removers/permanent-overband-magnetic-separator/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
