"url","slug","publicPageFound","pageLeakHits","productDataLeakHits","status"
"/en-za/products/magnetic-separation-equipment/wbc-semi-magnetic-tailings-recovery-machine/","wbc-semi-magnetic-tailings-recovery-machine","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/ctn-type-specialized-magnetic-separator-for-coal-washing/","ctn-type-specialized-magnetic-separator-for-coal-washing","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/hmdn-coal-washing-special-magnetic-separator/","hmdn-coal-washing-special-magnetic-separator","yes","none","none","pass"
"/en-za/products/metal-detection-and-recycling-sorting/dls-type-window-metal-detector/","dls-type-window-metal-detector","yes","none","none","pass"
"/en-za/products/metal-detection-and-recycling-sorting/gjt-type-window-metal-detector/","gjt-type-window-metal-detector","yes","none","none","pass"
"/en-za/products/metal-detection-and-recycling-sorting/hecp-eddy-current-metal-sorting-machine/","hecp-eddy-current-metal-sorting-machine","yes","none","none","pass"
"/en-za/products/metal-detection-and-recycling-sorting/hecs-type-eddy-current-metal-sorting-machine/","hecs-type-eddy-current-metal-sorting-machine","yes","none","none","pass"
"/en-za/products/metal-detection-and-recycling-sorting/drum-magnet/","drum-magnet","yes","none","none","pass"
"/en-za/products/metal-detection-and-recycling-sorting/eccentric-eddy-current-separator/","eccentric-eddy-current-separator","yes","none","none","pass"
"/en-za/products/metal-detection-and-recycling-sorting/electromagnet-separator/","electromagnet-separator","yes","none","none","pass"
"/en-za/products/metal-detection-and-recycling-sorting/magnetic-head-pulley/","magnetic-head-pulley","yes","none","none","pass"
"/en-za/products/metal-detection-and-recycling-sorting/stainless-steel-separation-conveyor/","stainless-steel-separation-conveyor","yes","none","none","pass"
"/en-za/products/magnetic-components-and-filters/cbs-drawer-type-magnetic-filter/","cbs-drawer-type-magnetic-filter","yes","none","none","pass"
"/en-za/products/magnetic-components-and-filters/clc-type-wet-slot-magnetic-filter/","clc-type-wet-slot-magnetic-filter","yes","none","none","pass"
"/en-za/products/magnetic-components-and-filters/ctq-type-roller-automatic-magnetic-separator/","ctq-type-roller-automatic-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-components-and-filters/cyg-wet-pipeline-magnetic-filter/","cyg-wet-pipeline-magnetic-filter","yes","none","none","pass"
"/en-za/products/magnetic-components-and-filters/rcyz-type-pipeline-magnetic-filter/","rcyz-type-pipeline-magnetic-filter","yes","none","none","pass"
"/en-za/products/magnetic-components-and-filters/clc-type-slot-magnetic-filter/","clc-type-slot-magnetic-filter","yes","none","none","pass"
"/en-za/products/magnetic-components-and-filters/dhd-type-roller-type-automatic-magnetic-separator/","dhd-type-roller-type-automatic-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-components-and-filters/dhj-type-strong-roller-automatic-magnetic-separator/","dhj-type-strong-roller-automatic-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-components-and-filters/qcg-wet-roller-magnetic-separator/","qcg-wet-roller-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-components-and-filters/drawer-magnet/","drawer-magnet","yes","none","none","pass"
"/en-za/products/magnetic-components-and-filters/hump-magnet/","hump-magnet","yes","none","none","pass"
"/en-za/products/magnetic-components-and-filters/magnetic-grid/","magnetic-grid","yes","none","none","pass"
"/en-za/products/magnetic-components-and-filters/magnetic-rod/","magnetic-rod","yes","none","none","pass"
